"temperatura_LPS22HB","humidity","speed_acceleration","pos_3d_acceleration","number_of_satellites","gps_fix","","accelerometer","gyro_accelerometer","angular_velocity","heading","gps_ecef","ecef_velocity","pressure","temperatura_HTS221","time","timeStamp"
36.70000076,73.59999847,36,731,10,3,"{""x"":-4,""y"":-2,""z"":2}","{""x"":928,""y"":-100,""z"":35}","{""x"":1031,""y"":119,""z"":50}","{""x"":-280,""y"":4410,""z"":630}","{""x"":250,""y"":-36,""z"":261}","{""x"":399971046,""y"":-436265425,""z"":-237076196}","{""x"":-4,""y"":-2,""z"":2}",943.5599976,34.20000076,208,797869
36.59999847,0,0,0,0,0,"{""x"":0,""y"":0,""z"":0}","{""x"":-147,""y"":-159,""z"":117}","{""x"":-93,""y"":75,""z"":85}","{""x"":216790,""y"":3990,""z"":-9940}","{""x"":192,""y"":100,""z"":372}","{""x"":0,""y"":0,""z"":0}","{""x"":0,""y"":0,""z"":0}",916.5,0,3069,3069
36.59999847,71.09999847,293,8323,7,3,"{""x"":6949,""y"":-4757,""z"":-1277}","{""x"":-233,""y"":-46,""z"":-69}","{""x"":-77,""y"":-59,""z"":-31}","{""x"":268590,""y"":2170,""z"":-10570}","{""x"":204,""y"":-84,""z"":481}","{""x"":399979908,""y"":-436272683,""z"":-237078436}","{""x"":6949,""y"":-4757,""z"":-1277}",913.7800293,37,203,3471
36.59999847,71.09999847,168,5037,9,3,"{""x"":7433,""y"":-5025,""z"":1}","{""x"":-155,""y"":117,""z"":-85}","{""x"":-70,""y"":57,""z"":-26}","{""x"":316050,""y"":9380,""z"":-8750}","{""x"":217,""y"":-124,""z"":220}","{""x"":399996134,""y"":-436284535,""z"":-237078651}","{""x"":7433,""y"":-5025,""z"":1}",910.5800171,37,204,3883
36.59999847,71.09999847,168,5037,9,3,"{""x"":7433,""y"":-5025,""z"":1}","{""x"":-241,""y"":62,""z"":-46}","{""x"":-65,""y"":-38,""z"":-129}","{""x"":377300,""y"":7350,""z"":-14630}","{""x"":211,""y"":27,""z"":228}","{""x"":399996134,""y"":-436284535,""z"":-237078651}","{""x"":7433,""y"":-5025,""z"":1}",908.6900024,37,223,4106
36.59999847,71.09999847,168,5037,9,3,"{""x"":7433,""y"":-5025,""z"":1}","{""x"":-167,""y"":105,""z"":-73}","{""x"":-55,""y"":-82,""z"":-19}","{""x"":462000,""y"":16660,""z"":-12670}","{""x"":211,""y"":-135,""z"":447}","{""x"":399996134,""y"":-436284535,""z"":-237078651}","{""x"":7433,""y"":-5025,""z"":1}",905.6799927,37,207,4506
36.59999847,71.09999847,147,4463,9,3,"{""x"":7172,""y"":-4784,""z"":249}","{""x"":-171,""y"":265,""z"":-65}","{""x"":-48,""y"":-103,""z"":-84}","{""x"":576310,""y"":5740,""z"":-20440}","{""x"":195,""y"":90,""z"":304}","{""x"":400003039,""y"":-436289023,""z"":-237078400}","{""x"":7172,""y"":-4784,""z"":249}",902.9000244,37,193,4902
36.59999847,71.09999847,147,4463,9,3,"{""x"":7172,""y"":-4784,""z"":249}","{""x"":-120,""y"":374,""z"":-190}","{""x"":-42,""y"":-167,""z"":-180}","{""x"":709590,""y"":17850,""z"":-28910}","{""x"":210,""y"":-111,""z"":205}","{""x"":400003039,""y"":-436289023,""z"":-237078400}","{""x"":7172,""y"":-4784,""z"":249}",900.4000244,37,197,5301
36.59999847,71.09999847,151,3764,11,3,"{""x"":6722,""y"":-4547,""z"":361}","{""x"":-393,""y"":710,""z"":137}","{""x"":0,""y"":-170,""z"":-398}","{""x"":1008560,""y"":25550,""z"":-34580}","{""x"":216,""y"":-115,""z"":208}","{""x"":400009273,""y"":-436292956,""z"":-237077915}","{""x"":6722,""y"":-4547,""z"":361}",898.0999756,37.046875,5916,5714
36.59999847,71.09999847,151,3764,11,3,"{""x"":6722,""y"":-4547,""z"":361}","{""x"":-233,""y"":191,""z"":-366}","{""x"":-157,""y"":-300,""z"":-242}","{""x"":924490,""y"":19880,""z"":-26110}","{""x"":214,""y"":-103,""z"":459}","{""x"":400009273,""y"":-436292956,""z"":-237077915}","{""x"":6722,""y"":-4547,""z"":361}",895.0200195,37,193,6316
